Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Outdated Files Present,Problem Detected
NRG-GI006,2023-09-19,03:00:00,2023-09-19,03:00:00,2023-09-20,03:00:00,Daily,00:00:00,73.0,389.32,0,
NRG-GI007,2023-09-19,04:40:00,2023-09-19,04:40:00,2023-09-20,04:40:00,Daily,00:00:00,51.0,15.13,0,
NRG-GI008,2023-09-19,03:50:00,2023-09-19,03:50:00,2023-09-20,03:43:00,Daily,00:07:00,60.0,110.98,0,
NRG-GU002,2023-09-19,03:10:00,2023-09-19,03:10:00,2023-09-20,03:05:00,Daily,00:05:00,49.0,242.63,0,
NRG-GU003,2023-09-19,03:10:00,2023-09-19,03:10:00,2023-09-20,03:10:00,Daily,00:00:00,47.0,256.5,0,
NRG-GU005,2023-09-19,03:20:00,2023-09-19,03:20:00,2023-09-20,03:15:00,Daily,00:05:00,54.0,702.6,0,
NRG-GU006,2023-09-19,03:20:00,2023-09-19,03:20:00,2023-09-20,03:20:00,Daily,00:00:00,50.0,460.81,0,
NRG-GU007,2023-09-19,03:30:00,2023-09-19,03:30:00,2023-09-20,03:25:00,Daily,00:05:00,44.0,82.3,0,
NRG-GU008,2023-09-19,03:30:00,2023-09-19,03:30:00,2023-09-20,03:30:00,Daily,00:00:00,59.0,346.83,0,
NRG-GU009,2023-09-19,04:40:00,2023-09-19,04:40:00,2023-09-20,04:35:00,Daily,00:05:00,81.0,1305.67,0,
NRG-GU010,2023-09-19,04:50:00,2023-09-19,04:50:00,2023-09-20,04:45:00,Daily,00:05:00,60.0,450.71,0,
NRG-GU011,2023-09-19,04:20:00,2023-09-19,04:20:00,2023-09-20,04:15:00,Daily,00:05:00,58.0,61.59,0,
NRG-GU012,2023-02-15,16:43:51,,,2023-02-15,16:51:56.963000,Daily,,59.0,6.03,0,
NRG-GU012,2023-09-19,07:50:00,2023-09-19,07:50:00,2023-09-20,07:50:00,Daily,00:00:00,59.0,6.03,0,
NRG-GY003,2023-09-19,01:20:00,2023-09-19,01:20:00,2023-09-26,00:55:00,Weekly,00:25:00,49.0,492.2,0,
NRG-GY004,2023-09-19,00:50:00,2023-09-19,00:50:00,2023-09-26,00:50:00,Weekly,00:00:00,69.0,4979.95,0,
NRG-GY005,2023-09-19,00:50:00,2023-09-19,00:50:00,2023-09-20,00:45:00,Daily,00:05:00,67.0,3177.77,0,
NRG-GY006,2023-09-19,00:50:00,2023-09-19,00:50:00,2023-09-20,00:40:00,Daily,00:10:00,71.0,1816.37,0,
